record,detector,rep,runtime_s,duration_s,ms_per_min_ecg,realtime_factor,samples_per_s,n_samples,n_detections,runtime_boundary
104,Embedded Pan-Tompkins firmware replay,2,0.31703947903588414,1805.556,10.535463171539984,0.00017559105285899974,1423762.748326083,451389,2245,controlled offline execution time of the firmware-equivalent implementation
104,Embedded Pan-Tompkins firmware replay,3,0.31660006917081773,1805.556,10.52086124731056,0.00017534768745517597,1425738.791473411,451389,2245,controlled offline execution time of the firmware-equivalent implementation
104,Embedded Pan-Tompkins firmware replay,4,0.31756412517279387,1805.556,10.552897561951903,0.00017588162603253174,1421410.5568580488,451389,2245,controlled offline execution time of the firmware-equivalent implementation
104,Embedded Pan-Tompkins firmware replay,5,0.31724870717152953,1805.556,10.542415981720739,0.000175706933028679,1422823.7650656325,451389,2245,controlled offline execution time of the firmware-equivalent implementation
104,Embedded Pan-Tompkins firmware replay,6,0.31486117793247104,1805.556,10.463076568075575,0.00017438460946792624,1433612.7526551094,451389,2245,controlled offline execution time of the firmware-equivalent implementation
104,Embedded Pan-Tompkins firmware replay,7,0.3128015568945557,1805.556,10.394633793509223,0.00017324389655848707,1443052.2804340187,451389,2245,controlled offline execution time of the firmware-equivalent implementation
105,Embedded Pan-Tompkins firmware replay,1,0.3112294839229435,1805.556,10.342392612235017,0.00017237321020391693,1450341.3825399596,451389,2598,controlled offline execution time of the firmware-equivalent implementation
105,Embedded Pan-Tompkins firmware replay,2,0.3106869850307703,1805.556,10.324364961178837,0.00017207274935298063,1452873.8625961258,451389,2598,controlled offline execution time of the firmware-equivalent implementation
105,Embedded Pan-Tompkins firmware replay,3,0.3106012628413737,1805.556,10.32151634758624,0.00017202527245977067,1453274.8381983484,451389,2598,controlled offline execution time of the firmware-equivalent implementation
105,Embedded Pan-Tompkins firmware replay,4,0.3120824838988483,1805.556,10.370738450610725,0.00017284564084351208,1446377.2345079884,451389,2598,controlled offline execution time of the firmware-equivalent implementation
105,Embedded Pan-Tompkins firmware replay,5,0.30881507392041385,1805.556,10.262159930362078,0.00017103599883936795,1461680.5917846146,451389,2598,controlled offline execution time of the firmware-equivalent implementation
105,Embedded Pan-Tompkins firmware replay,6,0.30736755300313234,1805.556,10.21405770864373,0.0001702342951440622,1468564.2501614345,451389,2598,controlled offline execution time of the firmware-equivalent implementation
105,Embedded Pan-Tompkins firmware replay,7,0.30612118379212916,1805.556,10.172639911211698,0.00016954399852019497,1474543.4942082106,451389,2598,controlled offline execution time of the firmware-equivalent implementation
106,Embedded Pan-Tompkins firmware replay,1,0.3158436908852309,1805.556,10.495726221238142,0.000174928770353969,1429153.1318383138,451389,2024,controlled offline execution time of the firmware-equivalent implementation
106,Embedded Pan-Tompkins firmware replay,2,0.3194516838993877,1805.556,10.615622574964865,0.0001769270429160811,1413011.8035069313,451389,2024,controlled offline execution time of the firmware-equivalent implementation
106,Embedded Pan-Tompkins firmware replay,3,0.31522925617173314,1805.556,10.475308088092525,0.00017458846813487542,1431938.7910939606,451389,2024,controlled offline execution time of the firmware-equivalent implementation
106,Embedded Pan-Tompkins firmware replay,4,0.3172361140605062,1805.556,10.541997503057436,0.0001756999583842906,1422880.2459543017,451389,2024,controlled offline execution time of the firmware-equivalent implementation
106,Embedded Pan-Tompkins firmware replay,5,0.3134314159397036,1805.556,10.415564488934276,0.00017359274148223791,1440152.3811730347,451389,2024,controlled offline execution time of the firmware-equivalent implementation
106,Embedded Pan-Tompkins firmware replay,6,0.31400786503218114,1805.556,10.4347203309844,0.00017391200551640667,1437508.5794546558,451389,2024,controlled offline execution time of the firmware-equivalent implementation
106,Embedded Pan-Tompkins firmware replay,7,0.3161698170006275,1805.556,10.506563640251342,0.000175109394004189,1427678.9741732497,451389,2024,controlled offline execution time of the firmware-equivalent implementation
107,Embedded Pan-Tompkins firmware replay,1,0.3081213010009378,1805.556,10.23910532825139,0.00017065175547085652,1464971.7450031997,451389,2132,controlled offline execution time of the firmware-equivalent implementation
107,Embedded Pan-Tompkins firmware replay,2,0.3063822779804468,1805.556,10.181316269795458,0.00016968860449659097,1473286.911290631,451389,2132,controlled offline execution time of the firmware-equivalent implementation
107,Embedded Pan-Tompkins firmware replay,3,0.3090583619195968,1805.556,10.270244575729475,0.00017117074292882458,1460529.9697971975,451389,2132,controlled offline execution time of the firmware-equivalent implementation
107,Embedded Pan-Tompkins firmware replay,4,0.307520872913301,1805.556,10.21915264594289,0.00017031921076571482,1467832.0717672377,451389,2132,controlled offline execution time of the firmware-equivalent implementation
107,Embedded Pan-Tompkins firmware replay,5,0.3083057620096952,1805.556,10.245235107956614,0.00017075391846594354,1464095.2444664505,451389,2132,controlled offline execution time of the firmware-equivalent implementation
107,Embedded Pan-Tompkins firmware replay,6,0.3043737069237977,1805.556,10.11456992495822,0.00016857616541597032,1483009.1750106676,451389,2132,controlled offline execution time of the firmware-equivalent implementation
107,Embedded Pan-Tompkins firmware replay,7,0.3072656989097595,1805.556,10.210673019604803,0.00017017788366008007,1469051.057770584,451389,2132,controlled offline execution time of the firmware-equivalent implementation
108,Embedded Pan-Tompkins firmware replay,1,0.3223906771745533,1805.556,10.713287558222063,0.0001785547926370344,1400130.4378774038,451389,2110,controlled offline execution time of the firmware-equivalent implementation
108,Embedded Pan-Tompkins firmware replay,2,0.32478370890021324,1805.556,10.792809823684667,0.0001798801637280778,1389814.1674916493,451389,2110,controlled offline execution time of the firmware-equivalent implementation
