record,detector,channel,reference_beat_count,detected_count,TP,FP,FN,sensitivity,ppv,f1,fp_per_hour,fn_per_hour,median_timing_error_ms,iqr_timing_error_ms,p95_timing_error_ms
100,Firmware replay Pan-Tompkins port,MLII,2273,2271,2271,0,2,0.9991201055873296,1.0,0.9995598591549296,0.0,3.9876923076923076,42.222222222335404,64.33333333337998,110.1111111111095
101,Firmware replay Pan-Tompkins port,MLII,1865,1868,1863,5,2,0.9989276139410188,0.9973233404710921,0.9981248325743369,9.96923076923077,3.9876923076923076,48.77777777778647,4.111111111242849,118.0999999999983
102,Firmware replay Pan-Tompkins port,V5,2187,2186,2186,0,1,0.9995427526291724,1.0,0.999771324033844,0.0,1.9938461538461538,134.88888888889505,46.666666666624224,140.2222222222207
103,Firmware replay Pan-Tompkins port,MLII,2084,2079,2079,0,5,0.9976007677543186,1.0,0.9987989430699015,0.0,9.96923076923077,109.66666666672609,71.6111111111104,115.44444444444935
104,Firmware replay Pan-Tompkins port,V5,2229,2245,2227,18,2,0.9991027366532077,0.9919821826280624,0.9955297273133661,35.88923076923077,3.9876923076923076,86.99999999998909,81.77777777774509,140.44444444448345
105,Firmware replay Pan-Tompkins port,MLII,2572,2598,2564,34,8,0.9968895800933126,0.9869130100076983,0.9918762088974855,67.79076923076923,15.95076923076923,52.555555555613864,70.00000000005002,121.8888888888614
106,Firmware replay Pan-Tompkins port,MLII,2027,2024,2021,3,6,0.9970399605328071,0.9985177865612648,0.9977783263391755,5.981538461538461,11.963076923076922,45.555555555665705,64.44444444446162,112.99999999999955
107,Firmware replay Pan-Tompkins port,MLII,2137,2132,2119,13,18,0.9915769770706598,0.9939024390243902,0.9927383462169126,25.919999999999998,35.88923076923077,130.7777777777801,62.66666666664378,135.6666666666797
108,Firmware replay Pan-Tompkins port,MLII,1763,2110,1355,755,408,0.7685762904140669,0.6421800947867299,0.6997159824425511,1505.3538461538462,813.4892307692307,100.11111111111859,63.94444444440239,145.99999999995816
109,Firmware replay Pan-Tompkins port,MLII,2532,2527,2526,1,6,0.9976303317535545,0.999604273842501,0.9986163273374185,1.9938461538461538,11.963076923076922,108.66666666666447,2.9999999999290594,112.1111111110622
111,Firmware replay Pan-Tompkins port,MLII,2124,2123,2123,0,1,0.9995291902071564,1.0,0.9997645396750647,0.0,1.9938461538461538,90.88888888891233,6.16666666655874,96.55555555559658
112,Firmware replay Pan-Tompkins port,MLII,2539,2538,2538,0,1,0.9996061441512406,1.0,0.9998030332873744,0.0,1.9938461538461538,40.500000000065484,52.777777777919255,98.34999999999356
113,Firmware replay Pan-Tompkins port,MLII,1795,1793,1793,0,2,0.9988857938718663,1.0,0.9994425863991081,0.0,3.9876923076923076,100.11111111111859,63.11111111097034,106.66666666656965
114,Firmware replay Pan-Tompkins port,MLII,1879,1879,1877,2,2,0.9989356040447046,0.9989356040447046,0.9989356040447046,3.9876923076923076,3.9876923076923076,107.11111111118043,3.8888888889232476,110.99999999987631
115,Firmware replay Pan-Tompkins port,MLII,1953,1952,1952,0,1,0.9994879672299027,1.0,0.9997439180537773,0.0,1.9938461538461538,102.1111111110713,6.999999999948159,125.5555555555734
116,Firmware replay Pan-Tompkins port,MLII,2412,2387,2385,2,27,0.9888059701492538,0.9991621281943862,0.9939570743904981,3.9876923076923076,53.83384615384615,43.11111111110222,60.444444444442524,115.0000000000091
117,Firmware replay Pan-Tompkins port,MLII,1535,1535,1535,0,0,1.0,1.0,1.0,0.0,0.0,23.333333333312112,49.88888888899279,79.77777777776964
118,Firmware replay Pan-Tompkins port,MLII,2278,2277,2277,0,1,0.9995610184372257,1.0,0.9997804610318332,0.0,1.9938461538461538,100.7777777776937,80.77777777771189,128.1111111111386
119,Firmware replay Pan-Tompkins port,MLII,1987,1987,1986,1,1,0.9994967287367891,0.9994967287367891,0.9994967287367891,1.9938461538461538,1.9938461538461538,43.22222222219807,76.52777777767028,120.66666666668624
121,Firmware replay Pan-Tompkins port,MLII,1863,1861,1861,0,2,0.9989264626945786,1.0,0.9994629430719656,0.0,3.9876923076923076,51.888888888896645,60.99999999992178,114.44444444444457
122,Firmware replay Pan-Tompkins port,MLII,2476,2475,2475,0,1,0.9995961227786753,1.0,0.9997980206018987,0.0,1.9938461538461538,44.33333333332712,44.77777777776737,109.55555555557055
123,Firmware replay Pan-Tompkins port,MLII,1518,1514,1514,0,4,0.997364953886693,1.0,0.9986807387862797,0.0,7.975384615384615,98.33333333335759,68.11111111117896,128.55555555559874
124,Firmware replay Pan-Tompkins port,MLII,1619,1619,1613,6,6,0.9962940086473132,0.9962940086473132,0.9962940086473132,11.963076923076922,11.963076923076922,93.55555555544015,48.77777777784331,107.4444444443543
200,Firmware replay Pan-Tompkins port,MLII,2601,2600,2595,5,6,0.9976931949250288,0.9980769230769231,0.9978850221111324,9.96923076923077,11.963076923076922,96.77777777778829,64.8888888889072,121.22222222205892
201,Firmware replay Pan-Tompkins port,MLII,1963,1907,1891,16,72,0.9633214467651554,0.9916098584163607,0.9772609819121446,31.90153846153846,143.55692307692308,108.77777777777453,68.61111111106766,122.11111111108153
202,Firmware replay Pan-Tompkins port,MLII,2136,2127,2119,8,17,0.9920411985018727,0.996238834038552,0.9941355852685902,15.95076923076923,33.895384615384614,110.1111111111095,65.99999999988881,115.99999999998545
203,Firmware replay Pan-Tompkins port,MLII,2980,2929,2889,40,91,0.9694630872483222,0.9863434619324002,0.9778304281604333,79.75384615384615,181.44,99.33333333333394,60.11111111111589,117.11111111114576
205,Firmware replay Pan-Tompkins port,MLII,2656,2648,2648,0,8,0.9969879518072289,1.0,0.9984917043740573,0.0,15.95076923076923,42.55555555562296,5.888888888833321,105.96111111111101
207,Firmware replay Pan-Tompkins port,MLII,1860,2083,1843,240,17,0.9908602150537634,0.8847815650504081,0.9348212021303576,478.5230769230769,33.895384615384614,108.33333333334849,50.6111111110954,114.555555555512
208,Firmware replay Pan-Tompkins port,MLII,2955,2918,2729,189,226,0.9235194585448393,0.935229609321453,0.9293376468585051,376.8369230769231,450.60923076923075,45.000000000015916,63.00000000000239,139.5111111111646
209,Firmware replay Pan-Tompkins port,MLII,3005,3005,3005,0,0,1.0,1.0,1.0,0.0,0.0,93.33333333324845,60.333333333574046,107.31111111103925
210,Firmware replay Pan-Tompkins port,MLII,2650,2625,2613,12,37,0.9860377358490566,0.9954285714285714,0.9907109004739337,23.926153846153845,73.77230769230769,113.1111111110954,69.88888888884048,121.11111111107675
212,Firmware replay Pan-Tompkins port,MLII,2748,2748,2748,0,0,1.0,1.0,1.0,0.0,0.0,40.00000000007731,2.7777777778510426,43.55555555554247
213,Firmware replay Pan-Tompkins port,MLII,3251,3246,3238,8,13,0.996001230390649,0.9975354282193469,0.9967677389564413,15.95076923076923,25.919999999999998,40.44444444434703,2.777777777822621,74.79444444450105
214,Firmware replay Pan-Tompkins port,MLII,2262,2257,2257,0,5,0.997789566755084,1.0,0.9988935605222394,0.0,9.96923076923077,108.88888888882775,62.666666666665094,116.44444444448254
215,Firmware replay Pan-Tompkins port,MLII,3363,3361,3361,0,2,0.9994052928932501,1.0,0.9997025580011898,0.0,3.9876923076923076,94.44444444443434,12.11111111115315,125.22222222230539
217,Firmware replay Pan-Tompkins port,MLII,2208,2202,2200,2,8,0.9963768115942029,0.9990917347865577,0.997732426303855,3.9876923076923076,15.95076923076923,112.33333333348128,22.249999999985448,120.33888888887671
219,Firmware replay Pan-Tompkins port,MLII,2154,2149,2148,1,6,0.9972144846796658,0.9995346672871103,0.9983732279804788,1.9938461538461538,11.963076923076922,110.3333333333012,25.527777777767824,117.999999999995
220,Firmware replay Pan-Tompkins port,MLII,2048,2047,2047,0,1,0.99951171875,1.0,0.9997557997557998,0.0,1.9938461538461538,99.00000000004638,66.8888888888084,111.74444444444588
221,Firmware replay Pan-Tompkins port,MLII,2427,2420,2417,3,10,0.9958796868562011,0.9987603305785124,0.9973179286156385,5.981538461538461,19.93846153846154,112.1111111110622,44.77777777773895,119.77777777781284
222,Firmware replay Pan-Tompkins port,MLII,2483,2485,2480,5,3,0.9987917841320982,0.9979879275653923,0.9983896940418678,9.96923076923077,5.981538461538461,40.33333333335065,8.888888888925806,106.33333333317978
223,Firmware replay Pan-Tompkins port,MLII,2605,2603,2599,4,6,0.9976967370441459,0.9984633115635805,0.9980798771121351,7.975384615384615,11.963076923076922,102.55555555556839,64.55555555567116,112.34444444457948
228,Firmware replay Pan-Tompkins port,MLII,2053,1364,1343,21,710,0.654164637116415,0.9846041055718475,0.7860696517412936,41.87076923076923,1415.6307692307691,47.11111111100763,53.888888888906195,105.7333333333417
