scope,detector,TP,FP,FN,sensitivity,ppv,f1,fp_per_hour,fn_per_hour,median_timing_error_ms,iqr_timing_error_ms,p95_timing_error_ms,median_runtime_s,iqr_runtime_s,median_ms_per_min_ecg,median_realtime_factor,f1_median,f1_iqr,f1_min,f1_max,sensitivity_median,sensitivity_iqr,ppv_median,ppv_iqr,records_f1_ge_0_99,records_f1_ge_0_98,records_f1_ge_0_95,records_f1_lt_0_90
gross,Embedded Pan-Tompkins firmware replay,107641,1405,1853,0.9830766982665716,0.9871155292261982,0.9850919740093348,58.36153846153843,76.97076923076919,86.00000000001273,66.22222222243579,127.55555555554564,0.31460859405342484,0.005214951233938392,10.454683013545687,0.00017424471689239998,,,,,,,,,,,,
record_level,Embedded Pan-Tompkins firmware replay,107641,1405,1853,,,,,,,,,0.31460859405342484,0.005214951233938392,10.454683013545687,0.00017424471689239998,0.9984406992079624,0.0045056702387175,0.6997159824425511,1.0,0.9976949659845874,0.0034551169703761,0.9993294284655876,0.0037197850048771,41.0,41.0,44.0,2.0
gross,Hamilton,107485,1395,2009,0.9816519626646208,0.9871877296105804,0.984412063707218,57.94615384615381,83.45076923076918,61.55555555551473,28.99999999976899,81.19999999989757,0.20529119786806405,0.039750204014126184,6.82198274220453,0.00011369971237005,,,,,,,,,,,,
record_level,Hamilton,107485,1395,2009,,,,,,,,,0.20529119786806405,0.039750204014126184,6.82198274220453,0.00011369971237005,0.9975403904208112,0.0064270807497489,0.6349453978159127,1.0,0.9968613536349876,0.0064858464845651,0.999113671571816,0.0024757516314549,37.0,43.0,45.0,2.0
